wordID	term	sentence A	sentence B	score1	score2	score3
1	redlining 	 The determination by governments and banks that neighborhoods with high percentages of racial minorities were ineligible for mortgage loans. Redlining has been illegal since the 1970s.	 A decision by the officers of a financial institution not to make loans in a particular area.
2	scapegoat 	 An individual or group blamed for wrongs that were not of their doing.	 An individual or group unfairly blamed for someone else’s troubles.
3	Protestant ethic 	 The belief that hard work and thrift are signs of god’s grace.	 Weber’s term to describe the ideal of a self–denying, highly moral life accompanied by thrift and hard work.
4	self 	 The conscious being, personified in a human body, which is made and reformulated through social interaction.	 The unique human capacity of being able to see ourselves “from the outside”; the views we internalize of how others see us.
5	monopoly 	 A situation in which a single firm dominates in a given industry.	 The control of an entire industry by a single company.
6	counterculture 	 A group whose ideas, attitudes, and behaviors are in direct conflict with mainstream culture.	 A group whose values, beliefs, norms, and related behaviors place its members in opposition to the broader culture.
7	stereotype 	 A fixed and inflexible category.	 A simplified generalization about a group (e.g., women or men) that is often false or exaggerated. Stereotypes are most often negative, although positive stereotypes can sometimes be found.
8	in-group 	 A group toward which one feels particular loyalty and respect—the group to which “we” belong.	 A group toward which one feels loyalty.
9	agents of socialization 	 Groups or social contexts within which processes of socialization take place.	 People or groups that affect our self concept, attitudes, behaviors, or other orientations toward life.
10	mortality 	 The number of deaths in a population.	 The process by which individuals in a population gradually die.
11	gross domestic product (GDP) 	 The total value of all goods and services, plus investment and government expenditures, that a country produces.	 The amount of goods and services produced by a nation.
12	language 	 The primary vehicle of meaning and communication in a society, language is a system of symbols that represent objects and abstract thoughts.	 Refers to any comprehensive system of words or symbols representing concepts, and it does not necessarily need to be spoken, as the hundreds of.
13	liberation theology 	 An activist Catholic religious movement that combines Catholic beliefs with a passion for social justice for the poor.	 A strain of theology first associated with Latin American Catholicism that emphasizes god’s concern for the poor and downtrodden and the rightness of social justice causes.
14	sex 	 The biological and anatomical differences distinguishing females from males.	 Whether a person is classified as male or female based on anatomical or chromosomal criteria.
15	cultural capital 	 Noneconomic or cultural resources that parents pass down to their children, such as language or knowledge. These resources contribute to the process of social reproduction, according to Bourdieu.	 The type and level of education and cultural knowledge possessed by an individual. Having a high level of cultural capital signifies one’s high status in the eyes of others.
